Gene ID,Product Description
PF3D7-0109500,"N-acetyltransferase, GNAT family, putative"
PF3D7-0416400,"histone acetyltransferase, putative"
PF3D7-0805400,"N-acetyltransferase, GNAT family, putative"
PF3D7-0809500,"histone acetyltransferase subunit NuA4, putative"
PF3D7-0823300,histone acetyltransferase GCN5
PF3D7-1020700,"N-acetyltransferase, GNAT family, putative"
PF3D7-1118600,histone acetyltransferase MYST
PF3D7-1244100,"N-alpha-acetyltransferase 15, NatA auxiliary subunit, putative"
PF3D7-1323300,"N-acetyltransferase, GNAT family, putative"
PF3D7-1437000,"N-acetyltransferase, GNAT family, putative"
